,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9213098729227762,0.2113611679834567
1,ag_news,ag_news_16_13,0.7700460829493088,0.09709629411931996
2,ag_news,ag_news_16_21,0.6787766830870279,0.6756756318466905
3,ag_news,ag_news_16_42,0.7112919370983887,0.10407027905415507
4,ag_news,ag_news_16_87,0.8031249999999999,0.5107411188016195
5,ag_news,mean,0.7769099152115004,0.31978889836104835
6,ag_news,std,0.08428705825885535,0.23280945383585097
7,,,,
8,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.53125,0.475
9,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,0.5625,0.5
10,blimp-sentential_negation_npi_scope,mean,0.546875,0.4875
11,blimp-sentential_negation_npi_scope,std,0.015625,0.012500000000000011
12,,,,
13,ethos-disability,ethos-disability_16_100,0.7490196078431373,0.6710084033613446
14,ethos-disability,ethos-disability_16_13,0.8745098039215686,0.7195357833655706
15,ethos-disability,ethos-disability_16_21,0.8435972629521017,0.5868945868945871
16,ethos-disability,ethos-disability_16_42,0.7793103448275862,0.6602261048304214
17,ethos-disability,ethos-disability_16_87,0.8423645320197044,0.642910447761194
18,ethos-disability,mean,0.8177603103128197,0.6561150652426235
19,ethos-disability,std,0.04625387528451324,0.04295750504767043
20,,,,
21,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.7810361681329424,0.6847826086956521
22,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.7046153846153846,0.6382536382536382
23,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8435972629521017,0.5130597014925373
24,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.875,0.6847826086956521
25,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.8435972629521017,0.5054098661287365
26,ethos-sexual_orientation,mean,0.8095692157305061,0.6052576846532433
27,ethos-sexual_orientation,std,0.060706581186058574,0.08025860079132437
28,,,,
29,glue-cola,glue-cola_16_100,0.3779644730092272,0.04282199966974175
30,glue-cola,glue-cola_16_13,0.06950480468569159,0.04861052650269185
31,glue-cola,glue-cola_16_21,0.3181423814878889,0.01742502486646926
32,glue-cola,glue-cola_16_42,0.06362847629757777,-0.03026840714273545
33,glue-cola,glue-cola_16_87,0.4045199174779453,0.026936836047065583
34,glue-cola,mean,0.24675201059166615,0.021105195988646595
35,glue-cola,std,0.14976969560461212,0.027981999759739508
36,,,,
37,superglue-rte,superglue-rte_16_100,0.71875,0.4693140794223827
38,superglue-rte,superglue-rte_16_13,0.59375,0.4765342960288809
39,superglue-rte,superglue-rte_16_21,0.625,0.5090252707581228
40,superglue-rte,superglue-rte_16_42,0.625,0.4909747292418773
41,superglue-rte,superglue-rte_16_87,0.71875,0.5054151624548736
42,superglue-rte,mean,0.65625,0.49025270758122746
43,superglue-rte,std,0.05229125165837972,0.015552822547680865
44,,,,
45,wiki_split,wiki_split_32_100,0.4135640914609428,0.4484761574718504
46,wiki_split,wiki_split_32_13,0.3076186893463874,0.2647899873368967
47,wiki_split,wiki_split_32_21,0.15588146979248646,0.15218342798660542
48,wiki_split,wiki_split_32_42,0.6543152640279066,0.6416754834632846
49,wiki_split,wiki_split_32_87,0.5129502936558773,0.5494894486615882
50,wiki_split,mean,0.4088659616567202,0.41132290098404506
51,wiki_split,std,0.17050111078814556,0.180087663579129
52,,,,
