,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8739531470895568,0.8448518712070744
1,ag_news,ag_news_16_13,0.7977456011730205,0.8581701652048475
2,ag_news,ag_news_16_21,0.919248949579832,0.4068479570779405
3,ag_news,ag_news_16_42,0.9214593596059112,0.5698760076029277
4,ag_news,ag_news_16_87,0.872895622895623,0.8331615769836211
5,ag_news,mean,0.8770605360687889,0.7025815156152821
6,ag_news,std,0.044875336280829216,0.18252064206015442
7,,,,
8,wiki_split,wiki_split_32_100,0.8767531098433932,0.8591250725332964
9,wiki_split,wiki_split_32_13,0.8704300760503534,0.8839407285813439
10,wiki_split,wiki_split_32_21,0.8893189223977385,0.8812289937089303
11,wiki_split,mean,0.8788340360971617,0.8747649316078568
12,wiki_split,std,0.007850470034292976,0.011114323203525832
13,,,,
